"101-56300-316","Hickman County Senior Citizens","10,000",
"101-58900-316","Hickman County Chamber of Commerce","25,000",
"101-58900-316","Women Are Safe","5,000",
"101-58900-316","Pleasantville Volunteer Fire Dept.","10,000",
"101-58900-316","Davis House Child Advocacy Center","10,000",
"101-58900-316","East Hickman Volunteer Fire Dept.","30,000",
"101-58900-316","Helping Hands","5,000",
"101-58900-316","Hickman Humane Society","5,000",
"101-58900-316","Shady Grove Community Center","10,000",
"101-58900-316","Bernard Community Club, Inc.","5,000",
"101-54420-316","Hickman County Rescue Squad","35,000",
","","$150,000",
"KNash","Wayne Thomason",
"Keith Nash, District 4","Michael Wayne Thomasson, District 3",
"BOARD ACTION: 16 Aye","Absent 5 Nay",
"ADOPTED:","st ATTEST: COUNTY",
"Mark A. Bentley","OFFICE Ran",
"Mark Bentley, Chairman","Casey Dorton, County Clerk SEAL",
"Mark A. Bentley","COUNTY",
"Mark Bentley, County Mayor","",
"43102","Other Employee Benefit Charges/Contrib","34,087","32,000","32,000",
"43120","Patient Charges","1,247,192","1,300,000","1,200,000",
"43190","Other General Services","170","0","0",
","Total Charges for General Services","1,281,449","1,332,000","1,232,000",
"43300","Fees","","","",
"43350","Copy Fees","1,182","1,500","1,500",
"43350-LIB","Copy Fees-Library","7,359","9,000","3,500",
"43360","Library Fees","816","1,000","150",
"43365","Archives and Records Management Fees","15,589","16,000","10,000",
"43370","Telephone Commissions","44,577","40,000","45,000",
"43392","Data Processing Fees Register","12,554","12,000","12,500",
"43393","Probation Fees","1,520","1,500","1,000",
"43394","Data Processing Fees-Sheriff","169","225","150",
"43395","Sexual Offenders Registration Fees-Sheriff","7,548","7,500","7,500",
"43396","Data Processing Fee-County Clerk","540","500","500",
"43399","Vehicle Insurance Coverage and Reinstatement F","910","600","1,000",
","Total Charges for Fees","92,764","89,825","82,800",
","TOTAL CHARGES FOR CURRENT SERVICES","1,374,213","1,421,825","1,314,800",
"44000","OTHER LOCAL REVENUES","","","",
"44100","Recurring items","","","",
"44110","Investment Income","0","0","0",
"44110-LIB","Investment Income-Library","7,774","1,500","1,500",
"44120","Lease/Rentals","6,302","7,275","5,000",
"44130","Sale of Materials and Supplies","0","0","0",
"44131","Commissary Sales","13,058","11,500","14,000",
"44146","E-Rate Funding","0","0","0",
"44146-LIB","E-Rate Funding-Library","0","0","0",
"44170","Miscellaneous Refunds","29,378","12,000","12,000",
","Total Recurring Items","56,512","32,275","32,500",
"44500","Nonrecurring Items","","","",
"44530","Sale of Equipment","3,595","0","0",
"44530-AMB","Sale of Equipment-Ambulance Service","0","0","0",
"44540","Sale of Property","361,284","0","0",
"44570","Contributions and Gifts","0","0","0",
"44570-AMB","Contributions and Gifts-Ambulance Service","0","0","0",
"44570-LIB","Contributions and Gifts-Library","2,233","5,000","2,500",
"44990","Other Local Revenue","0","0","0",
"Account No.","Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"44990-LIB","Other Local Revenue-Library","2,000","2,000","1,000",
","Total Nonrecurring Items","369,112","7,000","3,500",
","TOTAL OTHER LOCAL REVENUES","425,624","39,275","36,000",
"45000","FEES RECEIVED FROM COUNTY OFFICALS","","","",
"45100","Excess Fees","","","",
"45160","Juvenile Court Clerk","0","2,000","5,000",
"45500","Fees in Lieu of Salary","","","",
"45510","County Clerk","252,293","330,000","250,000",
"45520","Circuit Court Clerk","32,397","32,000","20,000",
"45540","General Sessions Court Clerk","166,165","165,000","100,000",
"45550","Clerk & Master","82,181","100,000","85,000",
"45560","Juvenile Court Clerk","6,704","3,000","0",
"45580","Register","140,649","120,000","143,000",
"45590","Sheriff","19,050","20,000","20,000",
"45610","Trustee","402,963","400,000","410,000",
","TOTAL FEES RECEIVED FROM COUNTY OFFIC","1,102,402","1,172,000","1,033,000",
"46000","STATE OF TENNESSEE","","","",
"46100","General Government Grants","","","",
"46110","Juvenile Service Program","9,000","9,000","9,000",
"46175","On-Behalf Contributions for OPEB","0","0","0",
","Total General Government Grants","9,000","9,000","9,000",
"46200","Public Safety Grants","","","",
"46210","Law Enforcement Training Programs","23,200","29,000","25,500",
"46290","Other Public Safety Grants","1,384","0","0",
","Total Public Safety Grants","24,584","29,000","25,500",
"46300","Health and Welfare Grants","","","",
"46310","Health Department Programs","302,854","341,900","301,373",
"46390","Other Health and Welfare Grants","20,000","0","0",
","Total Health and Welfare Grants","322,854","341,900","301,373",
"46800","Other State Revenues","","","",
"46820","Income Tax","10,389","30,500","10,000",
"46830","Beer Tax","18,175","17,000","18,000",
"46835","Vehicle Certificates of Title Fees","7,208","6,300","7,000",
"46840","Alcoholic Beverage Tax","83,105","75,000","90,000",
"46851","State Revenue Sharing-TVA","601,688","600,000","600,000",
"46852","State Revenue Sharing-Telecommunications","55,735","55,000","60,000",
"46855","State Shared Sports Gaming","0","0","0",
"46915","Contracted Prisoner Boarding","207,480","170,000","150,000",
"Account No. Description","Actual 2019-2020","Original Estimated 2020-2021","Estimated 2021-2022",
"46960 Registrar's Salary Supplement","15,164","15,164","16,164",
"46980 Other State Grants","72,579","0","0",
"46980-DA Other State Grants-Direct Appropriations","0","0","0",
"46980-ADP Other State Grants-Archive ADP Grant","3,643","0","0",
"46980-LIB Other State Grants-Library","10,501","7,500","21,025",
"46990 Other State Revenues","33,799","6,000","7,000",
"Total Other State Revenues","1,119,466","982,464","979,189",
"TOTAL STATE OF TENNESSEE","1,475,904","1,362,364","1,315,062",
"47000 FEDERAL GOVERNMENT","","","",
"47100 Federal Through State","","","",
"47230 Disaster Relief","5,738","0","0",
"47235 Homeland Security Grants","41,885","42,230","41,710",
"47235-TSEE Homeland Security Grants-Traffic Safety Enforcem","0","0","0",
"47301-CRF COVID-19 Grant-Coronavirus Relief Fund","0","0","0",
