"'Account No.","'Description","'Actual 2020-2021","'Original Estimate 2021-2022","'Estimate 2022-2023",
"'41.69921875","'48.24218750","'87.89062500","'90.33203125","'92.38281250",
"'41.82128906","'48.36425781","'88.13476563","'90.57617188","'92.57812500",
"'42.04101563","'48.60839844","'88.57421875","'91.01562500","'93.06640625",
"'41.84570313","'48.41308594","'88.18359375","'90.67382813","'92.67578125",
"'41.82128906","'48.36425781","'88.13476563","'90.57617188","'92.57812500",
"'41.65039063","'48.14453125","'87.74414063","'90.18554688","'92.23632813",
"'41.62597656","'48.12011719","'87.69531250","'90.13671875","'92.18750000",
"'41.89453125","'48.46191406","'88.28125000","'90.77148438","'92.77343750",
"'41.47949219","'47.94921875","'87.40234375","'89.79492188","'91.84570313",
"'41.67480469","'48.19335938","'87.79296875","'90.23437500","'92.28515625",
"'41.47949219","'47.94921875","'87.40234375","'89.79492188","'91.84570313",
"'41.89453125","'48.46191406","'88.28125000","'90.77148438","'92.77343750",
"'41.79687500","'48.33984375","'88.08593750","'90.52734375","'92.52929688",
"'41.47949219","'47.97363281","'87.45117188","'89.84375000","'91.89453125",
"'40.45410156","'46.77734375","'85.25390625","'87.59765625","'89.59960938",
"'43.18847656","'49.95117188","'91.01562500","'93.55468750","'95.65429688",
"'67.48046875","'67.48046875","'67.48046875","'67.48046875","'67.48046875",
"'39.52636719","'45.70312500","'83.30078125","'85.59570313","'87.54882813",
"'41.04003906","'47.46093750","'86.47460938","'88.86718750","'90.86914063",
"'40.74707031","'47.11914063","'85.83984375","'88.23242188","'90.18554688",
"'40.89355469","'47.29003906","'86.18164063","'88.57421875","'90.52734375",
"'40.79589844","'47.19238281","'85.98632813","'88.37890625","'90.33203125",
"'41.16210938","'47.60742188","'86.76757813","'89.16015625","'91.16210938",
"'41.21093750","'47.65625000","'86.81640625","'89.25781250","'91.25976563",
"'40.89355469","'47.29003906","'86.18164063","'88.57421875","'90.52734375",
"'40.82031250","'47.21679688","'86.03515625","'88.42773438","'90.38085938",
"'41.04003906","'47.46093750","'86.47460938","'88.86718750","'90.86914063",
"'41.57714844","'48.07128906","'87.59765625","'90.03906250","'92.08984375",
"'39.50195313","'45.67871094","'83.25195313","'85.54687500","'87.50000000",
"'43.53027344","'50.34179688","'91.74804688","'94.28710938","'96.43554688",
"'64.59960938","'64.59960938","'64.59960938","'64.59960938","'64.59960938",
"'37.91503906","'43.84765625","'79.88281250","'82.12890625","'83.93554688",
"'41.84570313","'48.38867188","'88.13476563","'90.62500000","'92.62695313",
"'41.74804688","'48.29101563","'87.98828125","'90.42968750","'92.43164063",
"'41.67480469","'48.21777344","'87.84179688","'90.28320313","'92.33398438",
"'41.47949219","'47.97363281","'87.45117188","'89.84375000","'91.89453125",
"'41.67480469","'48.19335938","'87.79296875","'90.23437500","'92.28515625",
"'41.94335938","'48.51074219","'88.37890625","'90.82031250","'92.87109375",
"'39.28222656","'39.28222656","'91.45507813","'94.04296875","'96.14257813",
"'53.12500000","'53.12500000","'53.12500000","'53.12500000","'53.12500000",
"'39.77050781","'45.99609375","'83.78906250","'86.13281250","'88.03710938",
