"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'348","'Postal Charges","'3,950","'5,500","'5,500",
"'349","'Printing, Stationery and Forms","'604","'1,800","'1,800",
"'351","'Rentals","'0","'2,000","'4,000",
"'355","'Travel","'0","'2,000","'2,000",
"'359","'Disposal Fees","'548,396","'524,160","'580,000",
"'399","'Other Contracted Services","'3,145","'5,000","'5,000",
,,,,

'Confidence Scores % (Table Cell)
""'40.16113281","'43.94531250","'90.28320313","'93.26171875","'94.97070313",
"'37.40234375","'40.89355469","'84.03320313","'86.81640625","'88.42773438",
"'40.03906250","'43.79882813","'89.99023438","'92.96875000","'94.67773438",
"'53.41796875","'53.41796875","'53.41796875","'53.41796875","'53.41796875",
"'39.84375000","'39.84375000","'39.84375000","'39.84375000","'39.84375000",
"'35.76660156","'39.11132813","'80.37109375","'83.00781250","'84.57031250",
"'40.06347656","'43.82324219","'90.03906250","'93.01757813","'94.72656250",
"'46.97265625","'46.97265625","'46.97265625","'46.97265625","'46.97265625",
"'32.54394531","'35.59570313","'73.14453125","'75.58593750","'76.95312500",
"'37.64648438","'41.18652344","'84.61914063","'87.40234375","'89.06250000",
"'38.08593750","'41.67480469","'85.59570313","'88.42773438","'90.08789063",
"'40.03906250","'43.79882813","'89.99023438","'92.96875000","'94.67773438",
"'61.42578125","'61.42578125","'61.42578125","'61.42578125","'61.42578125",
"'41.96777344","'41.96777344","'41.96777344","'41.96777344","'41.96777344",
"'28.93066406","'31.66503906","'65.03906250","'67.18750000","'68.45703125",
"'37.45117188","'40.96679688","'84.17968750","'86.96289063","'88.57421875",
"'37.84179688","'41.38183594","'85.00976563","'87.84179688","'89.45312500",
"'37.67089844","'41.21093750","'84.66796875","'87.45117188","'89.06250000",
"'38.06152344","'41.65039063","'85.54687500","'88.37890625","'90.03906250",
"'37.42675781","'40.94238281","'84.13085938","'86.91406250","'88.52539063",
"'37.71972656","'41.25976563","'84.76562500","'87.54882813","'89.16015625",
"'37.40234375","'40.89355469","'84.03320313","'86.81640625","'88.42773438",
"'37.52441406","'41.06445313","'84.37500000","'87.15820313","'88.76953125",
"'37.89062500","'41.45507813","'85.15625000","'87.98828125","'89.59960938",
"'37.69531250","'41.23535156","'84.71679688","'87.50000000","'89.11132813",
"'37.01171875","'40.47851563","'83.20312500","'85.93750000","'87.54882813",
"'37.71972656","'41.28417969","'84.81445313","'87.59765625","'89.20898438",
"'37.28027344","'40.77148438","'83.78906250","'86.52343750","'88.13476563",
"'37.03613281","'40.50292969","'83.25195313","'85.98632813","'87.59765625",
"'37.89062500","'41.45507813","'85.15625000","'87.98828125","'89.59960938",
"'37.76855469","'41.30859375","'84.91210938","'87.69531250","'89.30664063",
"'37.40234375","'40.91796875","'84.08203125","'86.86523438","'88.47656250",
"'37.28027344","'40.79589844","'83.83789063","'86.57226563","'88.18359375",
"'37.47558594","'40.99121094","'84.22851563","'87.01171875","'88.62304688",
"'37.69531250","'41.23535156","'84.71679688","'87.50000000","'89.11132813",
"'38.08593750","'41.67480469","'85.59570313","'88.42773438","'90.08789063",
"'37.69531250","'41.23535156","'84.71679688","'87.50000000","'89.11132813",
"'37.30468750","'40.82031250","'83.88671875","'86.62109375","'88.23242188",
"'38.74511719","'42.38281250","'87.10937500","'89.94140625","'91.65039063",
"'37.98828125","'41.55273438","'85.40039063","'88.18359375","'89.84375000",
"'37.93945313","'41.50390625","'85.30273438","'88.13476563","'89.74609375",
"'38.59863281","'42.21191406","'86.71875000","'89.59960938","'91.25976563",
"'37.98828125","'41.55273438","'85.40039063","'88.18359375","'89.84375000",
"'38.37890625","'41.99218750","'86.27929688","'89.11132813","'90.77148438",
"'38.13476563","'41.69921875","'85.69335938","'88.52539063","'90.18554688",
"'38.23242188","'41.82128906","'85.93750000","'88.76953125","'90.42968750",
"'39.77050781","'43.50585938","'89.35546875","'92.33398438","'94.04296875",
