"'Account No.","'Description","'Actual 2020-2021","'Original Estimated 2021-2022","'Estimated 2022-2023",
"'36.86523438","'39.72167969","'88.96484375","'88.23242188","'91.11328125",
"'36.86523438","'39.69726563","'88.91601563","'88.18359375","'91.06445313",
"'36.69433594","'39.52636719","'88.52539063","'87.79296875","'90.67382813",
"'36.30371094","'39.11132813","'87.54882813","'86.81640625","'89.69726563",
"'36.79199219","'39.62402344","'88.72070313","'87.98828125","'90.86914063",
"'36.88964844","'39.74609375","'89.01367188","'88.28125000","'91.16210938",
"'36.64550781","'39.47753906","'88.37890625","'87.64648438","'90.52734375",
"'36.96289063","'39.81933594","'89.16015625","'88.42773438","'91.35742188",
"'36.52343750","'39.35546875","'88.13476563","'87.40234375","'90.23437500",
"'36.42578125","'39.23339844","'87.84179688","'87.10937500","'89.99023438",
"'36.88964844","'39.74609375","'89.01367188","'88.28125000","'91.16210938",
"'35.98632813","'38.74511719","'86.76757813","'86.03515625","'88.86718750",
"'36.98730469","'39.84375000","'89.20898438","'88.47656250","'91.40625000",
"'36.47460938","'39.28222656","'87.98828125","'87.25585938","'90.08789063",
"'36.42578125","'39.25781250","'87.89062500","'87.15820313","'89.99023438",
"'36.59667969","'39.40429688","'88.23242188","'87.50000000","'90.38085938",
"'36.03515625","'38.81835938","'86.91406250","'86.18164063","'89.01367188",
"'41.77246094","'41.77246094","'92.91992188","'92.13867188","'95.16601563",
"'55.27343750","'55.27343750","'55.27343750","'55.27343750","'55.27343750",
"'38.25683594","'38.25683594","'38.25683594","'38.25683594","'38.25683594",
"'34.47265625","'37.13378906","'83.10546875","'82.42187500","'85.15625000",
"'36.15722656","'38.94042969","'87.20703125","'86.47460938","'89.30664063",
"'41.47949219","'41.47949219","'87.84179688","'87.10937500","'89.99023438",
"'43.40820313","'43.40820313","'93.01757813","'92.23632813","'95.26367188",
"'51.17187500","'51.17187500","'51.17187500","'51.17187500","'51.17187500",
"'39.37988281","'39.37988281","'39.37988281","'39.37988281","'39.37988281",
"'40.91796875","'40.91796875","'84.91210938","'84.22851563","'86.96289063",
"'39.69726563","'39.69726563","'87.45117188","'86.76757813","'89.59960938",
"'41.57714844","'41.57714844","'88.62304688","'87.89062500","'90.77148438",
"'42.91992188","'42.91992188","'92.87109375","'92.08984375","'95.11718750",
"'45.99609375","'45.99609375","'93.26171875","'92.48046875","'95.50781250",
"'43.11523438","'43.11523438","'43.11523438","'43.11523438","'43.11523438",
"'45.04394531","'45.04394531","'59.32617188","'58.83789063","'60.79101563",
"'66.01562500","'66.01562500","'91.94335938","'91.21093750","'94.18945313",
"'37.62207031","'37.62207031","'56.39648438","'55.95703125","'57.76367188",
"'44.45800781","'44.45800781","'80.90820313","'80.22460938","'82.86132813",
